GPID	Contigs	Name						Status	
	
30681	C	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	complete			
40647	C	Escherichia coli 042		      		complete	
16235	C	Escherichia coli 536				complete	
33413	C	Escherichia coli 55989				complete	
38725	C	Escherichia coli ABU 83972			complete	
16718	C	Escherichia coli APEC O1			complete	
18083	C	Escherichia coli ATCC 8739			complete	
18281	C	Escherichia coli B str. REL606			complete	
20713	C	Escherichia coli BL21(DE3)			complete	
28965	C	Escherichia coli BL21(DE3)			complete	
33775	C	Escherichia coli BW2952				complete	
313	C	Escherichia coli CFT073				complete	
30031	C	Escherichia coli DH1				complete	
13960	C	Escherichia coli E24377A			complete	
33409	C	Escherichia coli ED1a				complete	
42749	C	Escherichia coli ETEC H10407			complete	
13959	C	Escherichia coli HS   				complete	
33373	C	Escherichia coli IAI1				complete	
33411	C	Escherichia coli IAI39				complete	
43693	C	Escherichia coli IHE3034			complete	
33875	C	Escherichia coli KO11				complete	
32511	C	Escherichia coli O103:H2 str. 12009		complete	
32513	C	Escherichia coli O111:H- str. 11128		complete	
32571	C	Escherichia coli O127:H6 str. E2348/69		complete	
27739	C	Escherichia coli O157:H7 str. EC4115		complete	
259	C	Escherichia coli O157:H7 str. EDL933		complete	
226	C	Escherichia coli O157:H7 str. Sakai		complete	
30045	C	Escherichia coli O157:H7 str. TW14359		complete	
32509	C	Escherichia coli O26:H11 str. 11368		complete	
42729	C	Escherichia coli O55:H7 str. CB9615		complete	
41221	C	Escherichia coli O83:H1 str. NRG 857C		complete	
33375	C	Escherichia coli S88	     	 		complete	
18057	C	Escherichia coli SE11				complete	
19053	C	Escherichia coli SE15				complete	
19469	C	Escherichia coli SMS-3-5			complete	
20079	C	Escherichia coli str. K-12 substr. DH10B	complete	
225	C	Escherichia coli str. K-12 substr. MG1655	complete	
16351	C	Escherichia coli str. K-12 substr. W3110	complete	
50883	C	Escherichia coli UM146	   	   		complete	
33415	C	Escherichia coli UMN026				complete	
16259	C	Escherichia coli UTI89				complete	
48011	C	Escherichia coli W				complete	
15637	C	Shigella boydii CDC 3083-94			complete	
13146	C	Shigella boydii Sb227				complete	
13145	C	Shigella dysenteriae Sd197			complete	
33639	C	Shigella flexneri 2002017			complete	
408	C	Shigella flexneri 2a str. 2457T			complete	
310	C	Shigella flexneri 2a str. 301			complete	
16375	C	Shigella flexneri 5 str. 8401			complete	
13151	C	Shigella sonnei Ss046	 			complete	
15630	W	Escherichia coli				draft		
51097	W	Escherichia coli 1.2264				draft		
51085	W	Escherichia coli 1.2741				draft		
16193	W	Escherichia coli 101-1				draft		
40289	W	Escherichia coli 1180				draft		
40291	W	Escherichia coli 1357				draft		
40257	W	Escherichia coli 1827-70			draft		
51123	W	Escherichia coli 2.3916				draft		
51127	W	Escherichia coli 2.4168				draft		
40275	W	Escherichia coli 2362-75			draft		
51129	W	Escherichia coli 3.2303				draft		
51131	W	Escherichia coli 3003				draft		
40265	W	Escherichia coli 3431				draft			
51109	W	Escherichia coli 4.0522				draft		
51121	W	Escherichia coli 4.0967				draft		
51115	W	Escherichia coli 5.0959				draft		
15639	W	Escherichia coli 53638				draft		
31467	W	Escherichia coli 83972				draft		
51117	W	Escherichia coli 9.1649				draft		
51137	W	Escherichia coli 900105 (10e)			draft		
51095	W	Escherichia coli 95.0941			draft		
